O:C,H:C,ScINT
0.514285714,0.285714286,140339.3636
1.318181818,0.818181818,125847.7988
0.558823529,0.441176471,118411.338
0.083333333,0.25,111928.2696
0.263157895,0.289473684,109449.4493
0.109090909,0.054545455,105254.5227
1.173913043,0.869565217,104110.4518
0.96,0.68,99724.84666
0.205128205,0.333333333,87902.78071
0.318181818,0.181818182,83135.81863
0.2,0.28,164013.7741
0.461538462,0.487179487,153045.2458
0.793103448,0.896551724,143619.1669
0.30952381,0.238095238,138991.819
0.827586207,0.620689655,130251.2731
0.352941176,0.705882353,129908.5065
0.341463415,0.365853659,101116.1199
1.35,1.35,99402.28733
0.733333333,0.666666667,92032.80741
0,0.306122449,223173.1143
1.235294118,1.882352941,183931.2398
0.464285714,0.964285714,175505.0704
0.894736842,1.473684211,133855.719
1.055555556,1.888888889,126633.2881
0.518518519,1.185185185,118929.3619
0.1,0.4,112188.4264
0.379310345,1,101354.7801
0.625,0.625,433924.5199
2.666666667,1.5,432745.3771
2,1.571428571,335466.103
0.933333333,1.066666667,375487.4904
0.027777778,0.111111111,329848.127
2.428571429,1.714285714,285453.4734
0.15,0.7,202057.9092
0.304347826,0.52173913,571087.7069
0.03030303,0.393939394,363300.6465
0.208333333,0.583333333,363300.6465
0.230769231,0.769230769,440661.9416
0,0.583333333,306401.5024
0.148148148,0.814814815,260369.3518
0.277777778,1.888888889,215296.2043
0.421052632,1.789473684,382877.6509
0.3,1.4,382412.429
0,0.966666667,244241.5149
0.19047619,1.428571429,241915.4052
0.15,2.4,700453.3751
0.047619048,2.380952381,443436.6249
0.6,1.766666667,257845.4594
0.098039216,0.803921569,227149.5714
0.46875,1.5625,202251.7956
0.057692308,0.826923077,187244.917
0.516129032,1.774193548,187244.917
0.037735849,0.716981132,183152.1319
0.268292683,1.170731707,159959.6832
0.214285714,1,139495.7578
0,0.740740741,82196.76683
1.263157895,0.157894737,1283032
0.227272727,1.113636364,174152.4514
0.515151515,1.878787879,173262.7837
0.074074074,0.925925926,171705.8653
0.204545455,1.295454545,153467.6775
0,0.821428571,128556.982
0.177777778,1.133333333,116546.4681
0.371428571,1.657142857,112320.5466
0.441176471,1.882352941,106982.5404
0.036363636,0.945454545,87854.68495
1.5,0.625,442571.575
0.344827586,0.413793103,442571.575
0.7,0.65,259796.85
2.5,2.5,1166574
0.888888889,1.555555556,365408.986
0,0.45,320967.3526
0.363636364,0.909090909,258255.2698
0.6,1.6,219245.3916
0.321428571,1.642857143,321155.6172
0.105263158,1.026315789,317317.1039
0.407407407,1.925925926,304948.5608
0.051282051,1.051282051,206426.7181
0.025641026,1.179487179,394085.8811
0.321428571,1.821428571,345184.7134
0.078947368,1.368421053,324090.092
0.24137931,1.827586207,291489.3135
0.129032258,1.903225806,358178.5194
0.075,1.175,301034.907
0.03030303,1.696969697,258029.9202
0.0625,1.90625,235054.6534
0.071428571,0.285714286,519564.3465
0,0.344827586,388674.0976
0.315789474,0.473684211,360697.5559
0.772727273,1.863636364,241403.09
0.34375,1.3125,229362.3033
0.069767442,0.860465116,192358.91
0.652173913,1.869565217,171507.7915
0.205882353,1.117647059,146251.5071
0.272727273,1.333333333,136560.1422
0.185185185,1.740740741,121876.2559
0.954545455,2.090909091,245964.5892
0.166666667,1.194444444,239580.2624
0.423076923,1.923076923,230171.7809
0.108108108,1,218411.1789
0.37037037,1.62962963,147847.5673
0.052631579,1.026315789,129366.6214
0.105263158,1.421052632,292846.4807
0.194444444,1.583333333,288797.9119
0.135135135,1.594594595,249661.7462
0.275862069,1.896551724,217273.1954
0.407407407,2.148148148,176337.6658
0.296296296,2.296296296,314400.8023
0.090909091,1.227272727,291022.2811
0,1.5,247892.9403
0.054054054,1.702702703,193880.4948
0.214285714,2.285714286,188640.4814
0.066666667,1.288888889,897585.4155
0.026315789,1.763157895,579470.5845
0.131578947,1.736842105,643775.5333
0.025,1.55,491302.3807
0.076923077,1.743589744,378062.086
0.075,1.55,614129.3362
0.03030303,2.151515152,564181.6638
0,1.760869565,1259092
0.195121951,2.12195122,318415.423
0.039215686,1.725490196,310553.3138
0.142857143,2.119047619,256009.9311
0,1.730769231,197535.4939
0.068181818,1.954545455,123336.8382
0.526315789,0.210526316,1242326
2.4,2,754324.4887
1.142857143,0.857142857,432902.5113
1.166666667,2.333333333,1175615
0,1.071428571,1251381
0.15,0.95,328721.5854
1.222222222,2.666666667,276069.2102
0.269230769,0.615384615,258044.0728
0.75,1.4375,214878.6121
0.047619048,1,147521.5196
0.157894737,0.842105263,512970.9184
0.545454545,1.090909091,439941.7636
0.7,1.7,252657.318
0.064516129,0.709677419,233150.8246
0.5,1.35,219926.4868
0.272727273,1.045454545,176228.6751
0.380952381,1.380952381,176228.6751
0.266666667,2.133333333,154667.2548
1.272727273,2.545454545,138280.5754
0,0.75,89695.50835
0.25,2.25,1216419
0.038461538,1.5,1198579
0.25,1.90625,721353.9565
0,1.771428571,458111.0435
0.018181818,1.654545455,1193510
0.038461538,1.884615385,639922.7218
0.058823529,2.019607843,526194.2782
1.631578947,0.578947368,354092.9428
0.766666667,0.2,318241.6463
0.454545455,0.212121212,311857.1688
1.578947368,0.526315789,254396.8716
1.285714286,0.333333333,221983.3705
0.29787234,0.191489362,156977.4204
0.655172414,0.75862069,118938.5233
0.516129032,0.612903226,112330.8276
0.12,0.2,108401.9274
1.038461538,0.807692308,105723.1318
1.5,1.5,104294.4409
0.566666667,0.8,95186.53592
0.473684211,0.263157895,88936.01292
1.823529412,1.294117647,76077.79419
1.15,1.15,71255.96216
0.25,0.229166667,66434.13013
0.078431373,0.235294118,56433.29334
0.571428571,0.392857143,186036.8469
1.5,1.75,177684.1722
1.411764706,0.941176471,166041.0498
1.222222222,1,139464.3573
0.482758621,0.448275862,137186.3551
1.052631579,0.631578947,122759.0078
0.151515152,0.272727273,116937.4466
0.15,0.2,116431.2239
0.80952381,0.428571429,98966.54033
0,0.14893617,154618.6089
1.4,1.6,149004.6201
1.058823529,1.235294118,147835.0391
0.131578947,0.236842105,141987.1341
0.833333333,0.5,135437.4804
0.310344828,0.344827586,130993.0726
1.1875,1.625,124209.5028
0.162162162,0.378378378,107133.6201
0.736842105,0.894736842,81168.92179
0.318181818,0.454545455,285103.3481
0.888888889,0.777777778,261243.6353
0.03125,0.34375,223634.2574
1,1.416666667,215141.8173
0.217391304,0.52173913,156907.9419
0.054054054,0.27027027,338472.2615
0.3,0.9,283809.4286
0,0.633333333,245764.0969
0.9375,1.375,219525.937
0.19047619,0.952380952,176670.276
0.470588235,1.352941176,378051.3989
0.115384615,0.807692308,358506.6441
0.5625,1.75,239562.851
0.037037037,0.851851852,230628.106
0.041666667,1.458333333,1221042
0,2.2,1155770
0.192307692,2.038461538,789462.3032
0.111111111,2.037037037,356451.6968
0.454545455,0.727272727,649203.9024
4.5,4.5,370351.2195
0.25,0.833333333,230924.878
1.714285714,1,941111.9461
1.25,1.125,403190.0539
0,0.173913043,1187435
0.25,0.5,752799.4453
0.222222222,1.888888889,551891.5547
0.25,0.5625,1250054
0.642857143,0.857142857,761280.3783
0.625,1.875,638089.6217
0.066666667,1.666666667,1170222
0.117647059,1.735294118,498860.2267
0.027777778,1.555555556,376295.4296
0.057142857,1.742857143,301036.3437
0.111111111,1.944444444,1177302
0.178571429,0.285714286,306204.7798
1.777777778,1,265289.4859
0.764705882,0.764705882,240872.2944
0.473684211,0.473684211,188078.3669
1.4,1.1,147163.073
0.8,1.4,508298.3368
2.142857143,2.428571429,380036.1396
0.111111111,0.37037037,268400.5236
0.333333333,1.611111111,325740.6619
0.115384615,1.269230769,262732.4317
0.057142857,0.6,246881.3046
0,1.071428571,193780.0288
0.210526316,1.631578947,127601.5731
0.206896552,1.517241379,779713.9613
0.5,2.25,482138.0387
0.038461538,1.692307692,657764.6154
0.12,2,580647.3846
0.063829787,0.531914894,262082.1336
0.615384615,1.423076923,173377.4115
0.275862069,1.310344828,167329.3623
0.184210526,0.684210526,155233.2638
0.161290323,1.129032258,142849.163
0.2,1.333333333,135073.0996
1.176470588,2.235294118,128161.0434
0.020833333,0.5625,64224.52286
0,1.806451613,1266482
0.1875,1.9375,459405.9023
0.12195122,1.219512195,299612.545
0.121212121,1.939393939,230327.144
0.28,2.4,224709.4087
0.162162162,1.459459459,1145903
0,1.952380952,1265075
0.066666667,2.022222222,1206213
0.054545455,1.654545455,640637.3847
0.020833333,2.083333333,548026.6153
0.4,0.266666667,1268605
0.461538462,0.923076923,442557.4096
0.285714286,0.428571429,356069.0473
2.5,3.25,252889.9484
0.133333333,0.533333333,221531.5948
0.727272727,0.909090909,459113.4909
0.095238095,0.523809524,361334.1183
0.5,1,324245.3908
0.181818182,1.363636364,761813.8862
0,1.416666667,532420.1138
0.333333333,0.777777778,785904.5244
0,1.461538462,400639.4756
0.6,2.6,1227802
0,1.363636364,769364.5463
0.307692308,2.384615385,400936.4537
0.060606061,1.424242424,786123.1474
0.25,2,404996.6417
0,1.441176471,212444.2109
0,1.511627907,1282796
0,2,1149423
0.018518519,1.944444444,877753.4232
0.042553191,2.191489362,306572.5768
0,1.935483871,1219770
0,2.056603774,280839.3613
3.777777778,1.555555556,265312.1851
1.3,0.45,227844.4338
0.666666667,0.333333333,220080.8457
1.142857143,0.523809524,147508.1742
1.291666667,0.166666667,254192.3794
0.655172414,0.344827586,252567.1084
1.315789474,0.473684211,213235.551
4.125,1.75,195032.5161
1.15,0.55,176179.3729
1.16,0.24,168378.0723
0.125,0.071428571,126076.6071
0.571428571,0.457142857,120101.4125
1.157894737,1.368421053,110839.8608
1.166666667,0.875,109047.3024
0.459459459,0.351351351,100532.65
0.225,0.35,98889.47146
0.5,0.5,92466.13721
1.04,0.92,91569.85801
0.087719298,0.105263158,86640.32243
0.019607843,0.176470588,83353.96537
0.923076923,0.653846154,81860.16671
0.212765957,0.276595745,79171.32911
2.133333333,1.466666667,70357.91701
1.090909091,0.181818182,364217.3052
1.466666667,0.866666667,341018.7508
1.25,0.4375,328491.5313
0.538461538,0.307692308,294157.6707
1.058823529,0.529411765,196723.7419
0.2,0.428571429,223382.6099
0.461538462,0.653846154,192976.0821
0.625,0.833333333,192072.9179
0.138888889,0.472222222,163472.7185
0.52,0.88,158956.8976
0.423076923,0.615384615,141194.6685
0,0.217391304,83091.10555
0.020833333,0.395833333,169815.5987
1.375,2.25,137180.6457
0.518518519,1.148148148,117447.8834
0.576923077,1.384615385,115171.0262
0,0.825,107960.9784
0.128205128,0.512820513,100181.7163
0.2,1.066666667,98663.81155
0.042553191,0.510638298,95628.00196
1,1.777777778,84433.45411
1.176470588,2.235294118,78931.04924
0.129032258,1.096774194,54454.83445
0.323529412,0.794117647,349299.5567
0.384615385,1.576923077,228448.1476
0.257142857,0.828571429,213634.1039
0.02173913,0.52173913,189853.6653
0.6,1.12,169971.6593
0.1,1.133333333,79917.86732
0.315789474,0.789473684,456080.8206
0,0.551724138,416229.0984
0.2,0.85,275272.081
0.24,0.4,328764.5883
1.333333333,2.166666667,312506.9988
0,0.314285714,188588.0386
0.153846154,0.461538462,188588.0386
0.294117647,1.411764706,161853.3358
0.611111111,2.111111111,493578.762
0.473684211,2.105263158,453144.3436
0.033333333,1.166666667,359726.8943
0,1.433333333,1180352
0.074074074,1.703703704,569000.5699
0.153846154,2,552853.2565
0,1.714285714,362161.1736
0.074074074,0.648148148,192347.4954
0.515151515,1.424242424,144099.7959
0.59375,1.65625,138524.5062
0.5625,1.625,127373.9267
0.065217391,1.065217391,118153.2553
0.094339623,0.754716981,111720.2287
1,2.347826087,97996.43859
0.189189189,1.351351351,94565.49107
0.30952381,1.071428571,85559.25383
0.036363636,0.672727273,66474.60824
0.80952381,0.19047619,1176618
0.083333333,2.25,969005.44
0,2.24,634128.56
0.2,2.16,1270958
0.344827586,0.172413793,1258278
1.375,1.25,798820.0365
0.7,0.6,448623.9635
0.666666667,0.75,546119.3037
4,3.333333333,335086.2568
0.461538462,0.846153846,290170.4394
1,1.555555556,1274346
0.636363636,1.181818182,1204393
0.105263158,1.315789474,675742.6145
0.6,2.6,295402.5
0,1.35,210464.8855
0.314285714,1.657142857,1175641.686
0,1.4,730706.5248
0.166666667,2.1,689709.7891
0,1.255813953,465413.2866
0.125,1.575,443485.6877
0.023809524,1.404761905,282866.0258
0.380952381,0.238095238,387248.013
1.6,1,319084.4597
1.272727273,1.090909091,281545.1115
0.272727273,0.318181818,230669.4159
1,1.916666667,499223.5061
0.173913043,0.782608696,425120.0169
0.227272727,1.045454545,307464.477
0.421052632,1.736842105,610070.5141
0.5,2.111111111,547575.4859
0.380952381,1.952380952,1254504
0.043478261,2.260869565,1218354
